No.,ID de pantalla,,Orientacion,Pantallas,Nuc Optimo / Vulnerable,Nuc,Redundancia,Estado Redundancia,SD 300 Nova star,Estado SD 300 Nova star,UPS Cyberpower,Estado UPS Cyberpower,Internet Fibra optica,Camara,Estado Camara,POE,Estado POE,Interruptor termomagnetico 3x100 amp,Interruptor termomagnetico 2x20 amp,Fecha renovación tecnológica pantalla,Marca,Pitch,Numero de gabinetes,Medida de pantalla en m2
22,MX_CM_VV_COL_509,509,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Amicibro,P 6,16,14.74
23,MX_CM_VV_COL_519,519,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Amicibro,P 6,16,14.74
24,MX_CM_VV_COL_519,519,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Amicibro,P 6,16,14.74
25,MX_CM_VV_COL_529,529,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,LiteStar,P 10,16,14.74
26,MX_CM_VV_COL_529,529,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,LiteStar,P 10,16,14.74
27,MX_CM_VV_COL_542,542,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,LiteStar,P 10,16,14.74
28,MX_CM_VV_COL_542,542,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,LiteStar,P 10,16,14.74
29,MX_CM_VV_COL_551,551,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Unilumin,P10,16,14.74
30,MX_CM_VV_COL_551,551,Sur,1,Optimo,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,"martes, 28 de abril de 2026",Unilumin,P10,16,14.74
31,MX_CM_VV_COL_571,571,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,LiteStar,P 10,16,14.74
32,MX_CM_VV_COL_571,571,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,LiteStar,P 10,16,14.74
33,MX_CM_VV_COL_576,576,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,LiteStar,P 10,16,14.74
34,MX_CM_VV_COL_576,576,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,LiteStar,P 10,16,14.74
35,MX_CM_VV_COL_588,588,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,LiteStar,P 10,16,14.74
36,MX_CM_VV_COL_588,588,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,LiteStar,P 10,16,14.74
