No.,ID de pantalla,,Orientacion,Estado de la pantalla ,Fecha instalacion pantalla,Fecha renovación tecnológica pantalla,Pantallas,Nuc Optimo / Vulnerable,Marca,Nuc,Fecha de instalacion Nuc,Redundancia,Fecha de instalacion Teltonika,Estado Redundancia,SD 300 Nova star,Fecha de instalacion SD 300,Estado SD 300 Nova star,UPS Cyberpower,Fecha de instalacion UPS,Estado UPS Cyberpower,Internet Fibra optica,Camara,Fecha de instalacion Camara,Estado Camara,POE,Fecha de instalacion POE,Estado POE,Interruptor termomagnetico 3x100 amp,Interruptor termomagnetico 2x20 amp,Marca,Pitch,Numero de gabinetes,Medida de pantalla en m2
41,MX_CM_VV_COL_620,620,Norte,Optimo,"viernes, 3 de mayo de 2019",,1,,,,03/05/2019,,,,,03/05/2019,,,,,,Hikvision DS-2CD2643G2,03/05/2019,Vulnerable,UTEPO,03/05/2019,Vulnerable,,,Unilumin,P10,16,14.74
42,MX_CM_VV_COL_620,620,Sur,Optimo,"viernes, 3 de mayo de 2019","jueves, 30 de abril de 2026",1,Vulnerable,Intel,Nuc,03/05/2019,Teltonika 955,25/08/2025,Optimo,SD 300,03/05/2019,Vulnerable,UPS,30/06/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,03/05/2019,Vulnerable,UTEPO,03/05/2019,Vulnerable,1,8,Unilumin,P10,16,14.74
43,MX_CM_VV_COL_628,628,Norte,Optimo,"domingo, 5 de mayo de 2019",,1,,,,05/05/2019,,,,,05/05/2019,,,,,,Hikvision DS-2CD2643G2,05/05/2019,Vulnerable,UTEPO,05/05/2019,Vulnerable,,,Unilumin,P10,16,14.74
44,MX_CM_VV_COL_628,628,Sur,Optimo,"domingo, 5 de mayo de 2019","jueves, 30 de abril de 2026",1,Vulnerable,Intel,Nuc,05/05/2019,Teltonika 955,25/08/2025,Optimo,SD 300,05/05/2019,Vulnerable,UPS,01/07/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,05/05/2019,Vulnerable,UTEPO,05/05/2019,Vulnerable,1,8,Unilumin,P10,16,14.74
45,MX_CM_VV_COL_639,639,Norte,Optimo,"martes, 7 de mayo de 2019",,1,,,,07/05/2019,,,,,07/05/2019,,,,,,Hikvision DS-2CD2643G2,07/05/2019,Vulnerable,UTEPO,07/05/2019,Vulnerable,,,Amicibro,P 6,16,14.74
46,MX_CM_VV_COL_639,639,Sur,Optimo,"martes, 7 de mayo de 2019","lunes, 4 de mayo de 2026",1,Vulnerable,Intel,Nuc,07/05/2019,Teltonika 955,26/08/2025,Optimo,SD 300,07/05/2019,Vulnerable,UPS,01/07/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,07/05/2019,Vulnerable,UTEPO,07/05/2019,Vulnerable,1,8,Amicibro,P 6,16,14.74
47,MX_CM_VV_COL_641,641,Norte,Funcional,"lunes, 2 de septiembre de 2019",,1,,,,02/09/2019,,,,,02/09/2019,,,,,,Hikvision DS-2CD2643G2,02/09/2019,Vulnerable,UTEPO,02/09/2019,Vulnerable,,,Unilumin,P10,16,14.74
48,MX_CM_VV_COL_641,641,Sur,Optimo,"lunes, 2 de septiembre de 2019","lunes, 4 de mayo de 2026",1,Vulnerable,Intel,Nuc,02/09/2019,Teltonika 955,26/08/2025,Optimo,SD 300,02/09/2019,Vulnerable,UPS,01/07/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,02/09/2019,Vulnerable,UTEPO,02/09/2019,Vulnerable,1,8,Unilumin,P10,16,14.74
49,MX_CM_VV_COL_651,651,Norte,Optimo,"lunes, 2 de septiembre de 2019","viernes, 10 de abril de 2026",1,,,,02/09/2019,,,,,02/09/2019,,,,,,Hikvision DS-2CD2643G2,02/09/2019,Vulnerable,UTEPO,02/09/2019,Vulnerable,,,Unilumin,P10,16,14.74
50,MX_CM_VV_COL_651,651,Sur,Funcional,"lunes, 2 de septiembre de 2019",,1,Vulnerable,ASUS,Nuc,02/09/2019,Teltonika 955,27/08/2025,Optimo,SD 300,02/09/2019,Vulnerable,UPS,02/07/2022,Optimo,N/A,Hikvision DS-2CD2643G2,02/09/2019,Vulnerable,UTEPO,02/09/2019,Vulnerable,1,8,Unilumin,P10,16,14.74
